Nombre,prueba,tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,Miércoles 25 de Enero,,,,,,,,
,   52  Dispositivos,,,,,,,,
,   474.1 GB,,,,,,,,
,   1015 ficheros,,,,,,,,
,   $3018,,,,,,,,
Nombre de Dispositivo,,Tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
"Nysaer Galaxy S7 (Samsung Electronics Co., Ltd. SM-G930U)",,Celular,18:52,1.6 GB,23 ficheros,2 ficheros,$0,,"""NYSAER"""
,Nombre de Fichero,Tamaño,Hora de copia,Ruta donde se copió,,,,,
,National Treasure Edge of History - 1x07.mp4,166MB,06:59:09 ,\Phone\(_I_)\National Treasure Edge of History - 1x07.mp4,,,,,
,Last Man Standing 2x08.HDTV.x264-LOL.mp4,150MB,07:04:18 ,\Phone\Last Man Standing 2x08.HDTV.x264-LOL.mp4,,,,,
,The Rookie - 5x13.mp4,148MB,06:59:14 ,\Phone\(_I_)\The Rookie - 5x13.mp4,,,,,
,The Rookie Feds - 1x13.mp4,147MB,06:59:21 ,\Phone\(_I_)\The Rookie Feds - 1x13.mp4,,,,,
,FBI International - 2x11.mp4,145MB,06:59:30 ,\Phone\(_I_)\FBI International - 2x11.mp4,,,,,
,FBI Most Wanted - 4x11.mp4,144MB,06:59:25 ,\Phone\(_I_)\FBI Most Wanted - 4x11.mp4,,,,,
,FBI - 5x12.mp4,143MB,06:59:34 ,\Phone\(_I_)\FBI - 5x12.mp4,,,,,
,How I Met Your Father - 2x01.mp4,86MB,06:59:17 ,\Phone\(_I_)\How I Met Your Father - 2x01.mp4,,,,,
,Trigun Stampede Episodio 03.mp4,84MB,06:59:40 ,\Phone\(_I_)\Trigun Stampede Episodio 03.mp4,,,,,
,Tondemo Skill De Isekai Hourou Meshi Episodio 03.mp4,84MB,06:59:43 ,\Phone\(_I_)\Tondemo Skill De Isekai Hourou Meshi Episodio 03.mp4,,,,,
,"Eiyuuou, Bu Wo Kiwameru Tame Tenseisu- Soshite, Sekai Saikyou No Minarai Kishi♀ Episodio 03.mp4",83MB,07:00:04 ,"\Phone\(_I_)\Eiyuuou, Bu Wo Kiwameru Tame Tenseisu- Soshite, Sekai Saikyou No Minarai Kishi♀ Episodio 03.mp4",,,,,
,Tokyo Revengers- Seiya Kessen-hen Episodio 03.mp4,83MB,06:59:37 ,\Phone\(_I_)\Tokyo Revengers- Seiya Kessen-hen Episodio 03.mp4,,,,,
,Ayakashi Triangle Episodio 03.mp4,83MB,07:00:01 ,\Phone\(_I_)\Ayakashi Triangle Episodio 03.mp4,,,,,
,Mononogatari Episodio 03.mp4,83MB,06:59:52 ,\Phone\(_I_)\Mononogatari Episodio 03.mp4,,,,,
,Ningen Fushin No Boukensha-Tachi Ga Sekai Wo Sukuu You Desu Episodio 04.mp4,83MB,06:59:55 ,\Phone\(_I_)\Ningen Fushin No Boukensha-Tachi Ga Sekai Wo Sukuu You Desu Episodio 04.mp4,,,,,
,The Rookie Feds - 1x13.srt,71KB,07:01:15 ,\Phone\(_I_)\The Rookie Feds - 1x13.srt,,,,,
